,body,lat,long
50,Underrated Story Telling https://t.co/2tmIQfxqEV,-0.18429355,5.623198299999999
51,Considering buying an Apple TV today. Should I do it or should I wait and see if a new one drops soon?,-73.9685415,40.780709
52,@LuluMyakayaka @Apple They are fixing bugs😂,29.375138200000002,-23.848874799999997
53,"I’m pretty sure I could play music on the Apple Watch Series 0 speaker, but it seems as if there’s no way to do it on the Series 4 😭",-81.2487865,42.9488405
54,"Światowy Dzień Jabłka !
Word Apple Day in Poland !
.
.
.
.
.
#sadownictwo #sadownictwo_com_pl #jabłka… https://t.co/fEKyKKoNRL",type,coordinates
55,@9to5mac @JeffBenjam I love Apple’s clear case! https://t.co/i6Zf1AjIUn,-121.91034429999999,38.016752
56,Why is Nike running club coach not working on Apple Watch?? Frustrating!  I found out this is a problem for many ye… https://t.co/8tWCfgeRN7,4.3063953,52.07686795
57,@thebrittniocean @Apple Well when your ready come to the Att store on south Rice ave and upgrade you to the iPhone pro!,-95.44648649999999,29.8384948
58,@wig_remover @diannaeanderson No actually I am not. I am from Illinois.  You all just cant accept you will never be… https://t.co/25GWKg9oT5,-86.83064350000001,33.220769000000004
59,"Update: everyone is now eating the cake but it’s best a couple days in and it’s not gonna last that long. RIP APPLE CAKE, we hardly knew ye",-118.4119065,34.0207895
60,"Apple picking is way more fun with a new sister, amen? Crawford baby No. 7 already fits right in. Welcome, little l… https://t.co/dBvfFv9D8N",type,coordinates
61,@VQVaughns ME YESTERDAY FUCKING WITH APPLE PAY😩,-118.13196400000001,34.17731
62,@jpf001 @BichetteNadege Et sur iOS 13 et iPadOS 13 Pour la protection des données y a la Connection avec Apple sur… https://t.co/HdvCA73LVt,5.40527395,43.294309150000004
63,@___suzieq @ChampagneNaki Most of my tweets be lyrics . Lol https://t.co/vy6VT0x2UH,-122.22868550000001,37.7919941
64,"New Apple iPad 6th Gen 9.7"" 128GB Gold Wi-Fi iOS Tablet MRJP2LL/A
https://t.co/9UM9Q2B91K
#apple #ipad #appleipad… https://t.co/1x3I9h6x22",type,coordinates
65,https://t.co/lqRnqc5wbT,-119.30660750000001,37.2691755
66,Reindeer Ready Candle in scent Spiced Apple with golden bells &amp; wooden wick❤️ dm to claim before it goes up on my E… https://t.co/lfJLO0mcR3,-2.23348,53.4569527
67,"https://t.co/Lns7HAuZdv

@MckinnonCarlie",-85.7223455,38.195555
68,"we had a very good apple experience 💜🍎

thank you @pigeonfaith @samoyote @mothstrosity for accompanying on the adve… https://t.co/mhlIuUZcvo",-71.5135748313758,42.410110173155495
69,https://t.co/fekjVH8LaI,-76.06994605,36.8025415
70,"Chulada.😍📱⌚️ (@ Apple Antara in Ciudad de México, CDMX) https://t.co/ffta7kfuZ6",type,coordinates
71,https://t.co/MSP6PFbdB2,-121.896165,37.431473000000004
72,@LivingTesla @Abujamal1989 @CarolineGee8 @Apple Rwd model 3 sitting at 226 😎. 1 above rated. Driving at least 80% h… https://t.co/kfxUlqVAsq,-75.77004099999999,42.746617
73,Am I the only person who hates Apple CarPlay? #AppleCarPlay,-100.0768885,31.168893500000003
74,@htpape @MadisonBikes @HilldaleMadison @Madison_Bcycle Thanks for posting that. Was wondering if the loss of… https://t.co/dadj4b19i1,-89.446166,43.080266550000005
75,@lavagirl2k19 Apple dont fall from the tree,-81.5437315,39.9718205
76,"@soundzofficial Guy lemme tell you, Ballerina is one of my favorite songs this 2019!!! 😭😭😭😭😫😫😫

https://t.co/y9VNHTZqTL…",3.3180660000000004,6.590611150000001
77,Wow ryan added me to her Apple Music family plan I feel so loved 💖 made my whole week 😃,-122.4359785,37.7706565
78,"@NathNation @amazon @Apple @GoogleAI Yes, these are things I wish these assistants would actually do. Use the data… https://t.co/c0Z1V11s6B",-77.2759528,18.1154073
79,"@edward_quigley How did you get Apple, and Pixar?! Ben and Jerry’s is wrong",0.553941,51.8895475
80,"Looking for #sports, #Rockies, #Broncos and a little levity for your next workout...subscribe… https://t.co/FIhixqbc0j",-90.15870515,38.5853265
81,@AppleSupport The update was unsuccessful due to the iPad throwing an error and refusing to connect to two differen… https://t.co/ConzUJtjoA,-93.77475475,41.56425725
82,#flowers #glifada #petal #google #twitter #nature #beautiful #love #sunset  #blossom #vasilikilefkada #instagreece… https://t.co/LTykoSrRS9,type,coordinates
83,How many softwares are you going to give us every week @Apple,29.4770012,-23.9162345
84,Imagine thinking hating apple is a personality trait :(,-97.28591349999999,32.7799665
85,Ik hou van passievrucht!! - Drinking a Passionfruit &amp; Apple by @OldMoutCiderUK @ Loods 61  — https://t.co/RPmjasYO6o,type,coordinates
86,"Little ‘India’ at Little ‘Apple’ 
India has this peculiarity – it makes foreigners love it or hate it, but it’s imp… https://t.co/UJvrwR3lib",type,coordinates
87,Baker Apple Orchard 🍎 @ Baker Orchard https://t.co/K08WqdsqXI,type,coordinates
88,do I reaaaaally want an apple watch?,-79.42086499999999,38.003375500000004
89,Alırsın apple olursun pineapple😍💗💗💗💗💗💗💗🌈🌈🌈🌈kalpçiklerim i watch series 5 için 🙏🏻😇🍍🍍🍍🍍🍍 https://t.co/QutaJ3FXjf,13.4246065,52.506701
90,I do love an @Apple store #avtweeps! I may be in trouble when I get home from NYC... 😬 https://t.co/y3aHYv9NRX,-73.9685415,40.780709
91,This weather makes me wanna go to apple hill,-121.43938335,38.410427999999996
92,"Hello Fall! 🎃 🍁 
Warm Pumpkin Bread Pudding with
Vanilla Ice Cream and 
Apple Cider Sauce 
should help you get the… https://t.co/fCTKsrCiyJ",type,coordinates
93,Make sure y’all add my playlist. On Apple Music,-73.9487755,40.655138
94,"Another top night (as expected) at Rodney’s Chicken Shop tonight. Thought we’d over-ordered for a change, but we no… https://t.co/62FMwSw1w6",type,coordinates
95,"Escucha en vivo vía web: https://t.co/IH8IefOIcP

App Store:
https://t.co/ZJVjgvHpfr

Play Store:… https://t.co/7WpNiId3sk",type,coordinates
96,"I'm at @Apple Los Gatos in Los Gatos, CA https://t.co/ezfV3hgPwF",type,coordinates
97,"おはようございます😃
ラガーマンカッコイイなっ
台風がまたきてますね
友達がフィリピンに帰る日が来週の火曜…
今朝の1曲は
11月中旬リリース予定のalbum/Courageからnew single
Céline Dion/Imp… https://t.co/6SLAXVJZRl",136.919506499204,35.161599001442845
98,Y’all phone work ever since the update ? #apple👀,-84.433106,33.7671944
99,"Apple Day in Broomfield Park tomorrow afternoon.  #Apple tasting, #music, #honey. #community #fruit #September #park https://t.co/Yaj6gyVKX1",-0.09916355,51.6452755
100,"😩 CADILLAC WEATHER @MARCEBASSY  ☀️

https://t.co/jZsWIhsqo9",-117.58003525000001,33.9793436
